tconst,primaryTitle,startYear,averageRating,numVotes,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
tt0035423,Kate & Leopold,2001,6.4,81591.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0053472,Breathless,1960,7.8,77500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0053604,The Apartment,1960,8.3,172635.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
tt0053779,The Sweet Life,1960,8.0,70096.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0054047,The Magnificent Seven,1960,7.7,91576.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0054215,Psycho,1960,8.5,632714.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0054331,Spartacus,1960,7.9,130147.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0054387,The Time Machine,1960,7.6,39226.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0054698,Breakfast at Tiffany's,1961,7.6,173123.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0054953,The Guns of Navarone,1961,7.5,48136.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0054997,The Hustler,1961,8.0,79426.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0055031,Judgment at Nuremberg,1961,8.2,73941.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0055032,Jules and Jim,1962,7.8,39714.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0055254,One Hundred and One Dalmatians,1961,7.3,160272.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0055614,West Side Story,1961,7.5,102019.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0055630,Yojimbo,1961,8.2,117580.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0055928,Dr. No,1962,7.2,157687.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0056058,Hara-Kiri,1962,8.6,49548.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0056172,Lawrence of Arabia,1962,8.3,280169.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0056193,Lolita,1962,7.6,97255.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0056197,The Longest Day,1962,7.8,54006.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0056217,The Man Who Shot Liberty Valance,1962,8.1,72732.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0056218,The Manchurian Candidate,1962,7.9,73661.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0056443,Sanjuro,1962,8.1,36742.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0056592,To Kill a Mockingbird,1962,8.3,304895.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
