primaryTitle,startYear,averageRating,numVotes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,Western
Mortal Kombat,2021,6.1,149160.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jungle Cruise,2021,6.6,120081.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Little Things,2021,6.3,79808.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Thalaivi,2021,6.1,28957.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sardar Udham,2021,9.0,25857.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Shershaah,2021,8.7,106719.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Schumacher,2021,7.5,17367.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
CODA,2021,8.1,24028.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Master,2021,7.8,64646.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Jagame Thandhiram,2021,6.0,10968.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
To All the Boys: Always and Forever,2021,6.3,21385.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
The Harder They Fall,2021,6.5,22312.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Stillwater,2021,6.6,25309.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Sherni,2021,6.8,10223.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Love Hard,2021,6.4,10658.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mimi,2021,8.0,33186.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Titane,2021,6.8,14454.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
Pig,2021,6.9,36788.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Haseen Dillruba,2021,6.9,23084.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
The Map of Tiny Perfect Things,2021,6.8,17858.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Wrath of Man,2021,7.1,121635.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
The Card Counter,2021,6.2,11659.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Shiddat,2021,8.0,12086.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
No Sudden Move,2021,6.5,24928.0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
