primaryTitle,startYear,genre1,genre2,genre3,averageRating,numVotes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
#Alive,2020,Action,Drama,Horror,6.3,33479.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
'71,2014,Action,Crime,Drama,7.2,54264.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
*batteries not included,1987,Comedy,Family,Fantasy,6.7,34558.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10 Cloverfield Lane,2016,Action,Drama,Horror,7.2,307963.0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10 Things I Hate About You,1999,Comedy,Drama,Romance,7.3,317255.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10 Years,2011,Comedy,Drama,Romance,6.1,25149.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"10,000 BC",2008,Action,Adventure,Drama,5.1,128414.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101 Dalmatians,1996,Adventure,Comedy,Crime,5.7,108338.0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102 Dalmatians,2000,Adventure,Comedy,Family,4.9,36603.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11:14,2003,Comedy,Crime,Drama,7.2,46808.0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12 Monkeys,1995,Mystery,Sci-Fi,Thriller,8.0,598590.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
12 Rounds,2009,Action,Crime,Thriller,5.6,28350.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12 Strong,2018,Action,Drama,History,6.6,74504.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12 Years a Slave,2013,Biography,Drama,History,8.1,668955.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
127 Hours,2010,Biography,Drama,,7.5,362804.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2010,Crime,Drama,Thriller,6.1,41438.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13 Assassins,2010,Action,Adventure,Drama,7.6,64130.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13 Going on 30,2004,Comedy,Fantasy,Romance,6.2,178992.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
13 Hours,2016,Action,Drama,History,7.3,130763.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13 Sins,2014,Horror,Thriller,,6.3,35439.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
