Acteur,averageRating
Bob Gunton,9.3
Suriya,9.1
Aparna Balamurali,9.1
Biljana Cekic,8.8
Anja Stanic,8.8
Meat Loaf,8.8
Eli Wallach,8.8
Zlatan Vidovic,8.8
Sidharth Malhotra,8.7
Louise Fletcher,8.7
Ahu TÃ¼rkpenÃ§e,8.7
Shiv Panditt,8.7
Kiara Advani,8.7
Caglar Ertugrul,8.7
Michael Berryman,8.7
Ufuk Bayraktar,8.7
Shima Iwashita,8.6
Leandro Firmino,8.6
Sun-kyun Lee,8.6
Akira Ishihama,8.6
Matheus Nachtergaele,8.6
Patrick Disanto,8.6
Lawrence A. Bonney,8.6
Yeo-jeong Cho,8.6
Nicoletta Braschi,8.6
Suzanne Pleshette,8.6
Alexandre Rodrigues,8.6
Giorgio Cantarini,8.6
Anthony Perkins,8.5
Henry Fonda,8.5
Anne Le Ny,8.5
Antonella Attili,8.5
Tsutomu Tatsumi,8.5
Enzo Cannavale,8.5
Akemi Yamaguchi,8.5
Philippe Noiret,8.5
Melissa Benoist,8.5
Frank Finlay,8.5
Ayano Shiraishi,8.5
Phillipa Soo,8.4
Mone Kamishiraishi,8.4
RyÃ»nosuke Kamiki,8.4
Sakshi Tanwar,8.4
Sterling Hayden,8.4
Paul Freeman,8.4
Mona Singh,8.4
Kyung-jin Lee,8.4
Madhavan,8.4
RyÃ´ Narita,8.4
Leslie Odom Jr.,8.4
Kang Hye-jeong,8.4
Ben Burtt,8.4
Yoo Ji-Tae,8.4
Tisca Chopra,8.4
Elissa Knight,8.4
Boluwatife Treasure Bankole,8.4
Fatima Sana Shaikh,8.4
Danny Lloyd,8.4
Yordanos Shiferaw,8.4
Yuriko Ishida,8.4
Yutaka Sada,8.4
Ahu Türkpençe,8.4
Anthony Gonzalez,8.4
Zazie Beetz,8.4
YÃ»ko Tanaka,8.4
Ismail Hacioglu,8.4
Zain Al Rafeea,8.4
YÃ´ji Matsuda,8.4
Miyu Irino,8.399999999999999
Michael Bates,8.3
Daniel Mays,8.3
Mohammad Amir Naji,8.3
Mohanlal,8.3
Carrie Henn,8.3
Mohit Raina,8.3
MÃ©lissa DÃ©sormeaux-Poulin,8.3
Natsuki Hanae,8.3
Bahare Seddiqi,8.3
Olga Mironova,8.3
Ramachandra Raju,8.3
Dean-Charles Chapman,8.3
Meena,8.3
Maxim Gaudette,8.3
Jyoti Malshe,8.3
Anita Date,8.3
Herbert GrÃ¶nemeyer,8.3
Klaus Wennemann,8.3
Annika Wedderkopp,8.3
Gary Lockwood,8.3
Leila Hatami,8.3
Fred MacMurray,8.3
Liubomiras Laucevicius,8.3
Frank Overton,8.3
Lubna Azabal,8.3
Elizabeth McGovern,8.3
Elizabeth Berridge,8.3
Mark Gatiss,8.3
Amir Farrokh Hashemian,8.3
Eli Roth,8.3
Asha Sharath,8.3
Mathieu Kassovitz,8.3
John Megna,8.3
R. Lee Ermey,8.3
Ã‡etin Tekindor,8.3
Tatsuya Nakadai,8.3
Yoshitsugu Matsuoka,8.3
Rufus,8.3
Vicky Kaushal,8.3
Akari KitÃ´,8.3
Alec Guinness,8.3
William Sylvester,8.3
Varun Sharma,8.3
Yash,8.3
Aleksey Kravchenko,8.3
Shraddha Kapoor,8.3
Sohum Shah,8.3
Srinidhi Shetty,8.3
Steven Bauer,8.3
Sareh Bayat,8.3
Vera Miles,8.3
Sushant Singh Rajput,8.25
Claudia Cardinale,8.25
ToshirÃ´ Mifune,8.233333333333333
Aras Bulut Iynemli,8.2
Anushka Shetty,8.2
Akira Terao,8.2
Aoi YÃ»ki,8.2
Ariadna Gil,8.2
Ugur YÃ¼cel,8.2
Sener Sen,8.2
Elmo NÃ¼ganen,8.2
Ulrich Matthes,8.2
Michael Ansara,8.2
Gayatri Joshi,8.2
Fikret Kuskan,8.2
Farhan Akhtar,8.2
Eser Sariyar,8.2
Sermin HÃ¼rmeriÃ§,8.2
Jordan Nagai,8.2
Shriya Saran,8.2
Tabu,8.2
Kishori Ballal,8.2
John Ratzenberger,8.2
John Huston,8.2
Soledad Villamil,8.2
Jinpachi Nezu,8.2
Lembit Ulfsak,8.2
Ivana Baquero,8.2
Irene Papas,8.2
Giorgi Nakashidze,8.2
Lisa Haydon,8.2
Hrithik Roshan,8.2
Hitoshi Takagi,8.2
Takuya Kimura,8.2
Ajay Devgn,8.2
Tatsuya GashÃ»in,8.2
Manoj Bajpayee,8.2
Saori Hayami,8.2
Sergi LÃ³pez,8.2
Kangana Ranaut,8.2
Deniz Baysal,8.2
Chieko BaishÃ´,8.2
Chika Sakamoto,8.2
Alexandra Maria Lara,8.2
Burt Lancaster,8.2
EijirÃ´ TÃ´no,8.2
Patrick Magee,8.2
Abhay Deol,8.2
Pablo Rago,8.2
Radhika Apte,8.2
Richa Chadha,8.2
Noriko Hidaka,8.2
Nisa Sofiya Aksongur,8.2
Sahil Vaid,8.2
Sanjana Sanghi,8.2
Dexter Fletcher,8.2
Alison Doody,8.2
Ed Asner,8.2
Nick Moran,8.2
Sanjeev Kumar,8.2
Dharmendra,8.2
Richard Attenborough,8.2
Richard Widmark,8.2
George C. Scott,8.15
Graham Chapman,8.149999999999999
George MacKay,8.100000000000001
Bibi Andersson,8.1
Bertil Guve,8.1
Yacef Saadi,8.1
Sumi Shimamoto,8.1
AdÃ¨le Haenel,8.1
Hubert KoundÃ©,8.1
Ignat Daniltsev,8.1
Indraneil Sengupta,8.1
JÃ¼ri JÃ¤rvet,8.1
Bajram Severdzan,8.1
Brigitte Lin,8.1
Anne Dorval,8.1
YÃ»ko Miyamura,8.1
Branka Katic,8.1
Ivan Lapikov,8.1
Brahim Hadjadj,8.1
James Stewart,8.1
Bette Davis,8.1
Jean Martin,8.1
Joan Crawford,8.1
Hisako KyÃ´da,8.1
Suzanne ClÃ©ment,8.1
Cary-Hiroyuki Tagawa,8.1
Victor Buono,8.1
Takao Osawa,8.1
Wil Wheaton,8.1
Vernon Dobtcheff,8.1
Emilio EchevarrÃ­a,8.1
Vidya Balan,8.1
Donatas Banionis,8.1
Filipp Yankovskiy,8.1
Keiju Kobayashi,8.1
Demet Akbag,8.1
Tsutomu Yamazaki,8.1
FranÃ§ois PÃ©rier,8.1
Dean Stockwell,8.1
Aoi Miyazaki,8.1
David Rawle,8.1
FrÃ©dÃ©rique Feder,8.1
Cho Jin-woong,8.1
Dafne Keen,8.1
Cybill Shepherd,8.1
Gian Maria VolontÃ¨,8.1
Antoine Olivier Pilon,8.1
Corey Feldman,8.1
Tatum O'Neal,8.1
Goya Toledo,8.1
Gracy Singh,8.1
Graham Norton,8.1
Haluk Bilginer,8.1
Haru Kuroki,8.1
Henning Moritzen,8.1
Christopher Carley,8.1
Roe-ha Kim,8.1
Margarita Terekhova,8.1
Mandy Patinkin,8.1
Mary Gibbs,8.1
NoÃ©mie Merlant,8.1
Marisa Berenson,8.1
Amrish Puri,8.1
Mario Casas,8.1
Bee Vang,8.1
Margaretha Krook,8.1
Mahito Tsujimura,8.1
Lisa Hannigan,8.1
Mahesh Babu,8.1
LuÃ na Bajrami,8.1
SaÃ¯d Taghmaoui,8.1
Siddharth,8.1
Parambrata Chattopadhyay,8.1
Liv Ullmann,8.1
Rupert Graves,8.1
MarÃ­a Marull,8.1
Nikolay Grinko,8.1
Masahiro Motoki,8.1
Akshay Kumar,8.1
MÃ³nica Villa,8.1
Sean Bridgers,8.1
Nassar,8.1
Mithun Chakraborty,8.1
Mirjana Jokovic,8.1
Michael Palin,8.1
Michael Kenneth Williams,8.1
Alain Delon,8.1
Melisa SÃ¶zen,8.1
Megumi Ogata,8.1
Nastassja Kinski,8.1
Alison Crosbie,8.1
Natalya Bondarchuk,8.1
Alisa Freyndlikh,8.1
Nathalie Delon,8.1
Anatoliy Solonitsyn,8.1
Ana Wagener,8.1
Soha Ali Khan,8.1
Prabhas,8.1
Kristina Adolphson,8.1
Predrag 'Miki' Manojlovic,8.1
Raghuvir Yadav,8.1
Rana Daggubati,8.1
Pruitt Taylor Vince,8.1
Kriti Sanon,8.1
Lazar Ristovski,8.1
Siu Ping-Lam,8.1
Alexander Gould,8.1
Aleksandr Kaydanovskiy,8.1
Andrea Eckert,8.1
Lewis Black,8.1
